Entry,"Pair (event_id, vertex_id)",interactions,stack,segments,trajectories
1,"(0, 1000000000000005)",1,5,110,151
2,"(0, 1)",1,7,4,1475
3,"(0, 2)",1,8,2904,10101
4,"(0, 3)",1,14,5975,7646
5,"(1, 1000000000000019)",1,6,98,2087
6,"(1, 4)",1,9,161,13555
7,"(1, 1000000000000032)",1,8,1,25
8,"(1, 1000000000000043)",1,9,18,216
9,"(1, 9)",1,6,139,155
10,"(2, 16)",1,9,3427,2800
11,"(2, 18)",1,7,82,5113
12,"(2, 19)",1,8,83,3476
13,"(3, 1000000000000091)",1,16,172,477
14,"(4, 1000000000000106)",1,9,67,289
15,"(4, 1000000000000107)",1,7,137,93
16,"(4, 28)",1,9,333,558
17,"(4, 29)",1,12,3625,4613
18,"(5, 1000000000000135)",1,7,5,18
19,"(5, 1000000000000154)",1,13,2,305
20,"(6, 1000000000000188)",1,6,106,167
21,"(6, 1000000000000189)",1,5,12,193
22,"(6, 1000000000000190)",1,7,181,247
23,"(6, 34)",1,5,194,685
24,"(7, 39)",1,9,4,4501
25,"(7, 40)",1,4,7,559
26,"(8, 44)",1,5,2,2186
27,"(8, 47)",1,5,2,912
28,"(8, 48)",1,19,623,1317
29,"(8, 49)",1,7,127,431
30,"(8, 1000000000000244)",1,8,1,246
31,"(8, 50)",1,13,1508,6599
32,"(9, 1000000000000252)",1,10,199,203
33,"(9, 1000000000000255)",1,7,218,281
34,"(9, 1000000000000260)",1,9,1,53
35,"(9, 1000000000000266)",1,5,14,107
36,"(9, 1000000000000267)",1,8,9,439
37,"(9, 1000000000000268)",1,12,51,52
38,"(10, 54)",1,21,82,101
39,"(10, 1000000000000283)",1,10,17,36
40,"(10, 56)",1,5,290,315
41,"(12, 63)",1,5,1053,1068
42,"(13, 1000000000000356)",1,10,19,50
43,"(13, 1000000000000358)",1,12,1,1322
44,"(13, 1000000000000367)",1,8,1,13
45,"(13, 1000000000000374)",1,6,6,287
46,"(14, 74)",1,8,189,1130
47,"(14, 1000000000000388)",1,8,45,142
48,"(15, 1000000000000413)",1,14,25,293
49,"(15, 1000000000000414)",1,10,34,236
50,"(15, 1000005)",1,6,171,135
51,"(15, 1000007)",1,20,3596,2700
52,"(16, 1000008)",1,7,147,392
53,"(16, 1000000000000439)",1,10,35,140
54,"(16, 1000000000000445)",1,7,2,257
55,"(16, 1000000000000454)",1,5,96,45
56,"(16, 1000000000000462)",1,15,12,104
57,"(16, 1000000000000464)",1,12,22,89
58,"(16, 1000000000000465)",1,7,8,27
59,"(17, 1000000000000472)",1,10,8,51
