Entry,"Pair (event_id, vertex_id)",interactions,stack,segments,trajectories,trajID_stack,trajID_trajectories
3,"(0, 2)",1,8,2904,10101,0,2
4,"(0, 3)",1,14,5975,7646,1,3
9,"(1, 9)",1,6,139,155,152,8
117,"(35, 1000086)",1,5,168,2513,47279,116
192,"(56, 2000065)",1,12,793,2096,53762,191
193,"(56, 2000066)",1,12,431,1025,-999,192
214,"(64, 3000013)",1,6,50,610,61692,213
332,"(95, 4000080)",1,5,417,565,72347,331
353,"(101, 5000025)",1,8,1070,1172,72784,352
378,"(109, 5000062)",1,9,35,581,-999,377
388,"(113, 5000071)",1,7,1727,1435,75237,387
395,"(115, 5000078)",1,5,119,1267,75525,394
431,"(124, 6000029)",1,5,103,4236,-999,430
466,"(133, 6000071)",1,5,165,362,80551,465
560,"(162, 8000028)",1,6,635,1362,81683,559
592,"(170, 8000057)",1,9,862,1070,-999,591
603,"(177, 8000085)",1,6,751,718,-999,602
604,"(177, 8000088)",1,8,241,461,-999,603
606,"(178, 9000004)",1,6,452,1213,86000,605
675,"(198, 9000077)",1,8,3104,2759,-999,674
